E1 – ELETROELETRÔNICA – FASE 2,,
ÁREA,Nº,NOTA
ELET,1-1034,"5,625"
ELET,1-1057,B A I X A
ELET,1-1089,"8,75"
ELET,1-1138,"8,75"
ELET,1-1222,B A I X A
ELET,1-1246,"8,75"
ELET,1-1268,"9,375"
ELET,1-1346,"9,375"
ELET,1-1372,5
ELET,1-1388,"6,875"
ELET,1-1411,"8,125"
ELET,1-1423,"7,5"
ELET,1-1434,"6,25"
ELET,1-1443,"6,25"
ELET,1-1478,"6,875"
ELET,1-1484,"6,875"
ELET,1-1503,"8,75"
ELET,1-1508,B A I X A
ELET,1-1516,"3,75"
ELET,1-1541,"8,125"
ELET,1-1543,"8,75"
ELET,1-1549,"9,375"
ELET,1-1563,"8,125"
ELET,1-1587,"3,75"
ELET,2-2009,10
ELET,2-2033,"9,375"
ELET,2-2074,"8,75"
ELET,2-2123,"8,125"
A1 – APOIO – FASE 2,,
ÁREA,Nº,NOTA
APOIO,1-3011,"8,75"
APOIO,1-3018,10
APOIO,1-3059,"7,5"
APOIO,1-3101,"8,75"
APOIO,1-3126,"8,75"
APOIO,1-3164,"9,375"
APOIO,1-3207,10
APOIO,1-3212,10
APOIO,1-3233,"8,125"
APOIO,1-3243,10
APOIO,1-3281,"8,125"
APOIO,1-3302,"9,375"
APOIO,1-3328,"8,75"
APOIO,1-3359,"8,125"
APOIO,1-3387,"8,125"
APOIO,1-3402,5
APOIO,1-3426,"8,125"
APOIO,1-3445,"8,125"
APOIO,1-3465,"6,25"
APOIO,1-3493,"7,5"
APOIO,1-3506,"8,125"
APOIO,1-3656,"8,75"
M1 – ELETROMECÂNICA – FASE 2,,
ÁREA,Nº,NOTA
ELMEC,2-2063,"9,375"
ELMEC,2-2159,"7,5"
ELMEC,2-2201,B A I X A
ELMEC,2-2256,"9,375"
ELMEC,2-2267,"7,5"
ELMEC,2-2273,"7,5"
ELMEC,2-2309,10
ELMEC,2-2374,"8,125"
ELMEC,2-2415,"7,5"
ELMEC,2-2430,"8,125"
ELMEC,2-2451,"7,5"
ELMEC,2-2470,"8,75"
ELMEC,2-2486,"7,5"
ELMEC,2-2663,"8,75"
ELMEC,2-3105,"8,75"
ELMEC,2-3244,"8,75"
ELMEC,2-3261,"8,125"
ELMEC,2-3272,"6,875"
ELMEC,2-3337,"6,875"
ELMEC,2-3375,"5,625"
ELMEC,2-3421,"8,75"
ELMEC,2-3449,"8,75"
ELMEC,2-3462,"7,5"
ELMEC,2-3475,"8,75"
ELMEC,2-3488,"8,75"
ELMEC,2-3496,"8,75"
ELMEC,2-3511,5
ELMEC,2-3513,5
ELMEC,2-3514,"6,25"
ELMEC,2-3519,"7,5"
ELMEC,2-3520,"7,5"
ELMEC,2-3532,"5,625"
ELMEC,2-3533,"8,75"
ELMEC,2-3545,"7,5"
ELMEC,2-3551,"7,5"
ELMEC,2-3557,"9,375"
ELMEC,2-3633,"9,375"
E2 – ELETROELETRÔNICA – FASE 2,,
ÁREA,Nº,NOTA
ELET,1-2025,"6,875"
ELET,1-2069,"9,375"
ELET,1-2118,10
ELET,1-2134,10
ELET,1-2172,"8,75"
ELET,1-2227,"8,75"
ELET,1-2249,"8,125"
ELET,1-2373,"6,25"
ELET,1-2390,"8,75"
ELET,1-2413,"7,5"
ELET,1-2437,"5,625"
ELET,1-2447,"7,5"
ELET,1-2480,"9,375"
ELET,1-2501,"6,875"
ELET,1-2505,"8,75"
ELET,1-2509,"7,5"
ELET,1-2524,"6,25"
ELET,1-2535,"8,125"
ELET,1-2539,"8,125"
ELET,1-2542,"8,75"
ELET,1-2544,B A I X A
ELET,1-2561,"6,875"
ELET,1-2137,"8,75"
ELET,2-2238,"8,75"
ELET,2-2266,"8,75"
ELET,2-2370,"7,5"
ELET,2-2383,"7,5"
ELET,2-2396,"7,5"
A2 – APOIO – FASE 2,,
ÁREA,Nº,NOTA
APOIO,2-1038,"9,375"
APOIO,2-1088,"8,75"
APOIO,2-1139,"8,125"
APOIO,2-1158,"7,5"
APOIO,2-1203,"6,25"
APOIO,2-1211,"7,5"
APOIO,2-1219,"8,75"
APOIO,2-1239,"8,75"
APOIO,2-1253,"7,5"
APOIO,2-1282,"7,5"
APOIO,2-1304,"6,875"
APOIO,2-1321,"9,375"
APOIO,2-1347,"5,625"
APOIO,2-1385,"9,375"
APOIO,2-1455,"9,375"
APOIO,2-1463,"8,125"
APOIO,2-1483,"5,625"
APOIO,2-1502,B A I X A
APOIO,2-1620,"7,5"
APOIO,2-1640,5
APOIO,2-1651,"8,125"
APOIO,2-1665,5
APOIO,2-1668,"4,375"
