A1 - APOIO 1,,INST. / PROF.,
ÁREA,Nº,,NOTA
APOIO,A1-,32-019,"9,375"
APOIO,A1-,22-027,10
APOIO,A1-,12-008,10
APOIO,A1-,22-099,"8,75"
APOIO,A1-,22-051,"8,125"
APOIO,A1-,22-093,10
APOIO,A1-,22-033,"8,125"
APOIO,A1-,31-055,10
APOIO,A1-,11-047,10
APOIO,A1-,21-096,"8,75"
APOIO,A1-,31-067,10
APOIO,A1-,22-123,"8,125"
APOIO,A1-,21-090,"9,375"
APOIO,A1-,12-128,"8,125"
APOIO,A1-,11-107,"7,5"
APOIO,A1-,32-088,"9,375"
APOIO,A1-,12-026,"9,375"
APOIO,A1-,21-042,10
APOIO,A1-,32-112,"8,75"
APOIO,A1-,21-036,"9,375"
APOIO,A1-,12-110,10
APOIO,A1-,21-108,"9,375"
APOIO,A1-,22-015,"9,375"
APOIO,A1-,22-105,10
APOIO,A1-,31-095,"9,375"
APOIO,A1-,21-054,"8,75"
APOIO,A1-,31-103,10
APOIO,A1-,32-023,10
APOIO,A1-,31-085,"8,75"
APOIO,A1-,22-111,"6,875"
APOIO,A1-,12-074,"6,875"
APOIO,A1-,11-193,"5,625"
E2 - ELETROELETRÔNICA 2,,INST. / PROF.,
ÁREA,Nº,,NOTA
ELETRO,E2-,21-084,10
ELETRO,E2-,32-046,"9,375"
ELETRO,E2-,31-188,"8,75"
ELETRO,E2-,11-149,"9,375"
ELETRO,E2-,22-147,"8,125"
ELETRO,E2-,32-136,"8,125"
ELETRO,E2-,11-190,"9,375"
ELETRO,E2-,21-174,"8,125"
ELETRO,E2-,12-134,"7,5"
ELETRO,E2-,31-115,"9,375"
ELETRO,E2-,12-062,10
ELETRO,E2-,31-151,"8,125"
ELETRO,E2-,32-180,"8,75"
ELETRO,E2-,32-172,"9,375"
ELETRO,E2-,32-034,"7,5"
ELETRO,E2-,22-191,"6,875"
ELETRO,E2-,22-081,"6,25"
ELETRO,E2-,31-163,"8,125"
ELETRO,E2-,32-181,5
ELETRO,E2-,11-161,"9,375"
ELETRO,E2-,12-158,"6,875"
M1 – MECÂNICA 1,,INST. / PROF.,
ÁREA,Nº,,NOTA
MECAN,M1-,12-146,"9,375"
MECAN,M1-,22-009,10
MECAN,M1-,21-060,10
MECAN,M1-,32-130,"6,25"
MECAN,M1-,12-050,10
MECAN,M1-,22-069,"9,375"
MECAN,M1-,21-048,10
MECAN,M1-,31-139,10
MECAN,M1-,31-127,10
MECAN,M1-,11-053,10
MECAN,M1-,21-102,10
MECAN,M1-,32-144,"6,25"
MECAN,M1-,22-063,"9,375"
MECAN,M1-,32-148,"8,75"
MECAN,M1-,21-142,"9,375"
MECAN,M1-,11-195,"6,25"
E1 – ELETROELETRÔNICA 1,,INST. / PROF.,
ÁREA,Nº,,NOTA
ELETRO,E1-,32-040,"9,375"
ELETRO,E1-,11-184,"8,75"
ELETRO,E1-,31-073,10
ELETRO,E1-,31-013,"9,375"
ELETRO,E1-,32-094,"9,375"
ELETRO,E1-,22-159,"9,375"
ELETRO,E1-,32-052,"9,375"
ELETRO,E1-,22-176,"8,75"
ELETRO,E1-,12-177,"9,375"
ELETRO,E1-,31-049,"9,375"
ELETRO,E1-,31-157,"9,375"
ELETRO,E1-,11-179,"8,125"
ELETRO,E1-,21-182,"8,125"
ELETRO,E1-,12-014,"8,75"
ELETRO,E1-,31-169,"8,75"
ELETRO,E1-,11-131,"9,375"
ELETRO,E1-,11-167,"8,75"
ELETRO,E1-,11-186,"7,5"
ELETRO,E1-,31-133,"8,125"
ELETRO,E1-,12-022,"6,875"
ELETRO,E1-,11-183,"5,625"
ELETRO,E1-,11-155,10
E3 – ELETROELETRÔNICA 3,,INST. / PROF.,
ÁREA,Nº,,NOTA
ELETRO,E3-,22-171,10
ELETRO,E3-,21-114,10
ELETRO,E3-,21-030,"9,375"
ELETRO,E3-,31-007,"8,125"
ELETRO,E3-,32-154,10
ELETRO,E3-,12-152,10
ELETRO,E3-,11-137,"8,125"
ELETRO,E3-,31-031,"8,75"
ELETRO,E3-,32-028,"7,5"
ELETRO,E3-,32-160,"8,75"
ELETRO,E3-,21-162,10
ELETRO,E3-,21-025,"7,5"
ELETRO,E3-,21-168,10
ELETRO,E3-,21-156,"7,5"
ELETRO,E3-,11-187,"6,875"
ELETRO,E3-,12-164,10
ELETRO,E3-,22-165,"8,125"
ELETRO,E3-,11-170,"8,875"
ELETRO,E3-,11-194,"6,25"
ELETRO,E3-,31-175,"6,25"
ELETRO,E3-,32-192,"6,875"
ELETRO,E3-,11-125,"8,125"
M2 – MECÂNICA 2,,INST. / PROF.,
ÁREA,Nº,,NOTA
MECAN,M2-,32-005,10
MECAN,M2-,12-140,10
MECAN,M2-,22-117,"8,125"
MECAN,M2-,32-106,10
MECAN,M2-,21-138,"8,75"
MECAN,M2-,12-032,"9,375"
MECAN,M2-,22-045,"9,375"
MECAN,M2-,32-076,"9,375"
MECAN,M2-,22-141,"9,375"
MECAN,M2-,12-116,10
MECAN,M2-,22-129,"6,875"
MECAN,M2-,21-132,"8,75"
MECAN,M1-,12-018,10
MECAN,M2-,31-091,"9,375"
MECAN,M2-,11-143,5
MECAN,M2-,21-020,10
